family	pool_count	xpool_count	near_miss_share	primary_file	lane	score	examples
Effect:unknown::spells and abilities your opponents control can't cause	3	0	1.00	parser/oracle_effect/mod.rs	L03	4.5	Sigarda, Host of Herons; Tajuru Preserver; Tamiyo, Collector of Tales
Effect:look::look at that card	3	0	1.00	parser/oracle_effect/imperative.rs	L02	4.5	Hauken's Insight; Intet, the Dreamer; Jacob Hauken, Inspector
Effect:deal::deal damage to that player equal to the	3	0	1.00	parser/oracle_effect/imperative.rs	L02	4.5	Cerebral Vortex; Combustible Gearhulk; Curse of Thirst
Swallow:DynamicQty::~ deals N damage to target creature and	2	1	1.00	parser/oracle_quantity.rs	L06	3.8	Judgment Bolt; Synchronized Spellcraft
Swallow:DynamicQty::copy it for each other instant and sorcery	2	1	1.00	parser/oracle_quantity.rs	L06	3.8	Show of Confidence; Thousand-Year Storm
Swallow:DynamicQty::as an additional cost to cast this spell,	2	1	1.00	parser/oracle_quantity.rs	L06	3.8	Titan's Presence; Urgent Necropsy
Effect:unknown::once each turn, you may pay {M} rather	2	1	1.00	parser/oracle_effect/mod.rs	L03	3.8	As Foretold; Warped Space
Effect:unknown::as ~ enters, look at an opponent's hand,	2	1	1.00	parser/oracle_effect/mod.rs	L03	3.8	Anointed Peacekeeper; Sorcerous Spyglass
Effect:search::search its owner's graveyard, hand, and library for	2	1	1.00	parser/oracle_effect/imperative.rs	L02	3.8	Deadly Cover-Up; Surgical Extraction
Effect:an::an opponent separates those cards into N piles	7	0	0.00	parser/oracle_effect/search.rs	L08	3.5	Boneyard Parley; Brilliant Ultimatum; Fact or Fiction; Jace, Architect of Thought
Trigger:Whenever a creature dealt damage by equipped creature this turn dies::whenever a creature dealt damage by equipped creature	2	0	1.00	parser/oracle_trigger.rs	L10	3.0	Scythe of the Wretched; Unscythe, Killer of Kings
Swallow:DynamicQty::{M}, {M}: double the number of each kind	2	0	1.00	parser/oracle_quantity.rs	L06	3.0	Gilder Bairn; Vorel of the Hull Clade
Swallow:DynamicQty::devour N / when thi	2	0	1.00	parser/oracle_quantity.rs	L06	3.0	Marrow Chomper; Tar Fiend
Swallow:Condition_If::target spell. if that spell is countered this	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Fold into Aether; Hinder
Swallow:Condition_If::target creature if its power is less than	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Exert Influence; Titan's Presence
Swallow:Condition_If::of turn. if mana from a treasure was	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Forsworn Paladin; Jetmir's Fixer
Swallow:Condition_If::hideaway N (when this land enters, look at	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Howltooth Hollow; Shelldock Isle
Swallow:Condition_If::freerunning cost if you dealt combat damage to	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Chain Assassination; Monastery Raid
Swallow:Condition_If::each upkeep, if you lost life last turn,	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	First Response; Paladin of Atonement
Swallow:Condition_If::creature dies, if N or more damage was	2	0	1.00	parser/oracle_nom/condition.rs	L04	3.0	Burning-Eye Zubera; Rushing-Tide Zubera
ParseWarning:target-fallback::parse_target could not classify 'instead if that target	2	0	1.00	parser/oracle_target.rs	L23	3.0	Light Up the Night; Lithomantic Barrage
Effect:your::your life total becomes that number	2	0	1.00	parser/oracle_effect/mana.rs	L07	3.0	Invincible Hymn; Touch of the Eternal
Effect:when::when it connives this way, return up to	2	0	1.00	parser/oracle_effect/conditions.rs	L09	3.0	Obscura Interceptor; Psychic Pickpocket
Effect:unknown::as ~ enters, choose another creature you control	2	0	1.00	parser/oracle_effect/mod.rs	L03	3.0	Dauntless Bodyguard; Tyrannical Pitlord
Effect:spend::spend this mana only to cast an instant	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Sorcerer Class; Volshe Tideturner
Effect:spend::spend this mana only to cast a spell	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Corrupted Crossroads; Titans' Nest
Effect:shuffle::shuffle that pile	2	0	1.00	parser/oracle_effect/search.rs	L08	3.0	Ghastly Conscription; Jeskai Infiltrator
Effect:search::search that player's graveyard, hand, and library for	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Kotose, the Silent Spider; Reap Intellect
Effect:search::if there are N or more card types	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Invasive Surgery; Pick the Brain
Effect:manifest::manifest those cards	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Ghastly Conscription; Jeskai Infiltrator
Effect:for::for each color, return up to N target	2	0	1.00	parser/oracle_effect/search.rs	L08	3.0	All Suns' Dawn; Rogues' Gallery
Effect:effect_structure::you may reveal this card from your opening	2	0	1.00	parser/oracle_dispatch.rs	L05	3.0	Chancellor of the Annex; Chancellor of the Tangle
Effect:effect_structure::you may look at cards exiled with ~	2	0	1.00	parser/oracle_dispatch.rs	L05	3.0	Bane Alley Broker; Grimoire Thief
Effect:deal::~ deals damage to any target equal to	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Burn at the Stake; Soulblast
Effect:deal::deal damage to any target equal to the	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Morgue Burst; Rumbling Aftershocks
Effect:create::create a tapped and attacking N/N red devil	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Maestros Diabolist; Pugnacious Pugilist
Effect:can't::can't attack or block, and its activated abilities	2	0	1.00	parser/oracle_effect/mana.rs	L07	3.0	Academic Probation; Linvala, Shield of Sea Gate
Effect:add::{M}: add N mana of any of ~'s	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Katilda, Dawnhart Prime; Tazri, Stalwart Survivor
Effect:add::add {M} at the beginning of your next	2	0	1.00	parser/oracle_effect/imperative.rs	L02	3.0	Conduit of Emrakul; Conduit of Storms
Effect:a::a spell cast this way costs {M} more	2	0	1.00	parser/oracle_effect/mana.rs	L07	3.0	Elite Spellbinder; Invasion of Gobakhan
Effect:repeat::repeat this process N more times	3	1	0.33	parser/oracle_effect/	L11	2.9	Another Round; Development; Professor Onyx
Effect:repeat::repeat this process	5	0	0.00	parser/oracle_effect/	L11	2.5	Demonlord Belzenlok; Grist, the Hunger Tide; Rally the Horde; Scalpelexis
Trigger:Whenever ~ is dealt 3 or more damage::whenever ~ is dealt N or more damage,	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Innocent Bystander
Trigger:Whenever you untap one or more permanents during your untap step::whenever you untap N or more permanents during	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	The Millennium Calendar
Trigger:Whenever you tap one or more untapped creatures your opponents control::whenever you tap N or more untapped creatures	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Sharae of Numbing Depths
Trigger:Whenever you solve a Case::whenever you solve a case, look at the	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Case File Auditor
Trigger:Whenever you give a gift::whenever you give a gift, draw a card	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Jolly Gerbils
Trigger:Whenever you forage::whenever you forage, put a +N/+N counter on	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Corpseberry Cultivator
Trigger:Whenever you draw your first or second card each turn::whenever you draw your first or second card	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Lady Octopus, Inspired Inventor
Trigger:Whenever you discover::whenever you discover, discover again for the same	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Curator of Sun's Creation
Trigger:Whenever you activate an ability that targets a creature or player::whenever you activate an ability that targets a	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Ertha Jo, Frontier Mentor
Trigger:Whenever one or more of your opponents are attacked::whenever N or more of your opponents are	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Party Dude
Trigger:Whenever another creature you control::whenever another creature you control, put a +N/+N	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Long Feng, Grand Secretariat
Trigger:Whenever an opponent gains control of a permanent from you::whenever an opponent gains control of a permanent	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Zidane, Tantalus Thief
Trigger:Whenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value::whenever an aura you control becomes attached to	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Eriette, the Beguiler
Trigger:Whenever a creature you control::whenever a creature you control, draw a card	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Surrak, Elusive Hunter
Trigger:Whenever a creature you control explores a nonland card::whenever a creature you control explores a nonland	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Nicanzil, Current Conductor
Trigger:Whenever a creature you control explores a land card::whenever a creature you control explores a land	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Nicanzil, Current Conductor
Trigger:Whenever a creature you control attacking causes a triggered ability of that creature to trigger::whenever a creature you control attacking causes a	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Firebender Ascension
Trigger:Whenever a Vehicle crewed by ~ this turn attacks::whenever a vehicle crewed by ~ this turn	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Balthier and Fran
Trigger:When there are four or more page counters on ~::when there are N or more page counters	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Mazemind Tome
Trigger:When there are 1,000 or more time counters on ~::when there are N,N or more time counters	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	The Millennium Calendar
Trigger:When the chosen player loses the game::when the chosen player loses the game, you	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Shinryu, Transcendent Rival
Trigger:When the chosen creature leaves the battlefield::when the chosen creature leaves the battlefield, transform	1	1	1.00	parser/oracle_trigger.rs	L10	2.2	Zenos yae Galvus
Swallow:Optional_YouMay::your turn, you may play cards from your	1	1	1.00	parser/oracle_effect/	L11	2.2	Hades, Sorcerer of Eld
Swallow:Optional_YouMay::your turn, you may cast creature spells with	1	1	1.00	parser/oracle_effect/	L11	2.2	Leonardo, Sewer Samurai
Swallow:Optional_YouMay::whenever a creature you control enters, you gain	1	1	1.00	parser/oracle_effect/	L11	2.2	Case of the Uneaten Feast
Swallow:Optional_YouMay::graveyard. / you may cast dinosaur creature spells	1	1	1.00	parser/oracle_effect/	L11	2.2	Intrepid Paleontologist
Swallow:Optional_YouMay::each turn, you may instead create th	1	1	1.00	parser/oracle_effect/	L11	2.2	Mirrormind Crown
Swallow:Modal_DynamicMaxDropped::~ enters, choose up to N, where N	1	1	1.00	parser/oracle_effect/sequence.rs	L26	2.2	Bumi, King of Three Trials
Swallow:Modal_DynamicMaxDropped::modal spell, choose up to N, where N	1	1	1.00	parser/oracle_effect/sequence.rs	L26	2.2	Riku of Many Paths
Swallow:DynamicQty::{M}: add {M}. / {M}: this land becomes	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Cavernous Maw
Swallow:DynamicQty::your library. for each of those cards, its	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Suspend Aggression
Swallow:DynamicQty::whenever you cast a modal spell, choose up	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Riku of Many Paths
Swallow:DynamicQty::when ~ enters, target opponent mills N cards.	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Hama, the Bloodbender
Swallow:DynamicQty::when ~ enters, choose up to N, where	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Bumi, King of Three Trials
Swallow:DynamicQty::when this creature enters, target opponent reveals N	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Taster of Wares
Swallow:DynamicQty::ward—pay life equal to ~'s power. / whenever	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Raubahn, Bull of Ala Mhigo
Swallow:DynamicQty::treasure token for each creature that crewed it	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Luxurious Locomotive
Swallow:DynamicQty::trample / if a red source you control	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Ojer Axonil, Deepest Might
Swallow:DynamicQty::toughness each equal to N plus N. (it	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Fractalize
Swallow:DynamicQty::this spell costs {M} less to cast, where	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Hearth Elemental
Swallow:DynamicQty::that token for each spell	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Outlaw Stitcher
Swallow:DynamicQty::than or equal to the n	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Squirming Emergence
Swallow:DynamicQty::than or equal to the chosen number	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Expel the Interlopers
Swallow:DynamicQty::than or equal to the amount of man	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Mockingbird
Swallow:DynamicQty::step, investigate for each opponent who lost life	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Teysa, Opulent Oligarch
Swallow:DynamicQty::job select / equipped creature gets +N/+N fo	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Machinist's Arsenal
Swallow:DynamicQty::investigate once for each opponent who has more	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Wojek Investigator
Swallow:DynamicQty::gets +N/+N for each of its creature types,	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Diligent Zookeeper
Swallow:DynamicQty::flying / if a creature you control that	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Neriv, Heart of the Storm
Swallow:DynamicQty::first strike, haste / camouflage — {M}: put	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Ultimate Spider-Man
Swallow:DynamicQty::exile cards from the top of your library	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Solstice Revelations
Swallow:DynamicQty::exile cards equal to its mana value from	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Rakdos, the Muscle
Swallow:DynamicQty::control enter, for each of them, create a	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Kambal, Profiteering Mayor
Swallow:DynamicQty::at the beginning of combat on your turn,	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Zimone, Paradox Sculptor
Swallow:DynamicQty::at least that many cards in it, exile	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Ashiok, Wicked Manipulator
Swallow:DynamicQty::[+N]: surveil N. / [−N]: any number of	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Ral Zarek, Guest Lecturer
Swallow:DynamicQty::N life for each of those crea	1	1	1.00	parser/oracle_quantity.rs	L06	2.2	Bounding Felidar
Swallow:Duration_ThisTurn::{M}, {M}, sacrifice this artifact: destroy target nonland	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Thaumaton Torpedo
Swallow:Duration_ThisTurn::your hand this turn and this creature doesn't	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Inventive Wingsmith
Swallow:Duration_ThisTurn::when this enchantment enters, destroy up to N	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Sidequest: Hunt the Mark
Swallow:Duration_ThisTurn::sneak {M} (you may cast this spell for	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Karai, Future of the Foot
Swallow:Duration_ThisTurn::menace / whenever ~ deals combat damage to	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Reno and Rude
Swallow:Duration_ThisTurn::menace / whenever N or more counters are	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Stalwart Successor
Swallow:Duration_ThisTurn::lost life this turn. / whenever a clue	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Teysa, Opulent Oligarch
Swallow:Duration_ThisTurn::if you would pay life while your library	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Ashiok, Wicked Manipulator
Swallow:Duration_ThisTurn::dealt damage this turn. / draw N cards.	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Treacherous Greed
Swallow:Duration_ThisTurn::crewed it this turn explores. (reveal the top	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Subterranean Schooner
Swallow:Duration_ThisTurn::bargain / ~ deals N damage to target	1	1	1.00	parser/oracle_nom/duration.rs	L16	2.2	Torch the Tower
Swallow:Condition_If::~ enters, if he was cast, return target	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Anti-Venom, Horrifying Healer
Swallow:Condition_If::~ enter, if you cast them and there	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Ran and Shaw
Swallow:Condition_If::{M}: add N mana of any color. /	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Intrepid Paleontologist
Swallow:Condition_If::your graveyard. if you c	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Leonardo, Sewer Samurai
Swallow:Condition_If::your graveyard if a non-zombie creature died this	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Undead Sprinter
Swallow:Condition_If::you attack, if a pirate and a vehicle	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Fearless Swashbuckler
Swallow:Condition_If::with prowess. if this spell was cast from	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Otterball Antics
Swallow:Condition_If::when this artifact enters, draw a card, then	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Puca's Eye
Swallow:Condition_If::tokens. then if this spell was cast from	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Antiquities on the Loose
Swallow:Condition_If::permanents. / if a card you didn't control	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Valgavoth, Terror Eater
Swallow:Condition_If::other costs. if you cast a spell this	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Noctis, Prince of Lucis
Swallow:Condition_If::on it if it wasn't cast or no	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Freestrider Commando
Swallow:Condition_If::menace / whenever N or more counters are	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Stalwart Successor
Swallow:Condition_If::menace / creatures you control have wither. /	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Massacre Girl, Known Killer
Swallow:Condition_If::mayhem {M} / all creatures	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Sandman's Quicksand
Swallow:Condition_If::mana cost if there are N or more	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Blasphemous Edict
Swallow:Condition_If::had flash if you behold a dragon as	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Molten Exhale
Swallow:Condition_If::creature attacks, if it's not suspected, you may	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Rubblebelt Braggart
Swallow:Condition_If::activate only if this artifact or another artifact	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Master's Manufactory
Swallow:Condition_If::activate only if there are N or more	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Matzalantli, the Great Door
Swallow:Condition_If::activate only if the number of othe	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Cavernous Maw
Swallow:Condition_If::activate only if red sources you controlled de	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Temple of Power
Swallow:Condition_If::activate only if a player has N or	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Temple of the Dead
Swallow:Condition_If::activate only if N or more cards left	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Bonecache Overseer
Swallow:Condition_If::N cards. if N cards that sha	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	The Tale of Tamiyo
Swallow:Condition_If::/ {M}: add {M}. remove a time counter	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Temple of Cyclical Time
Swallow:Condition_If::/ i — until your next turn, each	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Maximum Carnage
Swallow:Condition_AsLongAs::your turn, as long as ~ is equipped,	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Cloud, Planet's Champion
Swallow:Condition_AsLongAs::this artifact enters with N net counters on	1	1	1.00	parser/oracle_nom/condition.rs	L04	2.2	Braided Net
Effect:you::you control that player during their next turn	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Secret of Bloodbending
Effect:when::{M}, {M}: when you next activate an exhaust	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Pit Automaton
Effect:when::when you search your library this way, put	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Prishe's Wanderings
Effect:when::when you lose control of that equipment this	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Stolen Uniform
Effect:when::when that mana is spent to cast a	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Pyromancer's Goggles
Effect:when::when excess damage is dealt to the creature	1	1	1.00	parser/oracle_effect/conditions.rs	L09	2.2	Rhino's Rampage
Effect:unless_payment::counter up to N target spell unless its	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Repulsive Mutation
Effect:unknown::the same is true for creature spells you	4	1	0.00	parser/oracle_effect/mod.rs	L03	2.2	Arcane Adaptation; Conspiracy; Leyline of Transformation; Maskwood Nexus
Effect:unknown::the first spell each player casts during each	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Weftwalking
Effect:unknown::during your turn, you may play cards you	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Tinybones, Bauble Burglar
Effect:unknown::during your turn, you may cast creature spells	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Dawnhand Dissident
Effect:unknown::as ~ transforms into ~, choose an opponent	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Shinryu, Transcendent Rival
Effect:unknown::N-headed coin — the first time you flip	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Edgar, King of Figaro
Effect:the::the first sorcery spell, or the first otter	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Alania, Divergent Storm
Effect:the::the copy gains haste and "at the beginning	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Choreographed Sparks
Effect:the::each player who controls the most creatures investigates.	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	No Witnesses
Effect:spend::spend this mana only to turn permanents face	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Overgrown Zealot
Effect:spend::spend this mana only to cast face-down spells	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Tin Street Gossip
Effect:spend::spend mana as though it were mana of	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Outrageous Robbery
Effect:shuffle::shuffle that pile, then cloak them	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Expose the Culprit
Effect:shards::shards you control become copies of it until	1	1	1.00	parser/oracle_effect/	L11	2.2	Niko, Light of Hope
Effect:replacement_structure::as ~ enters or is turned face up,	1	1	1.00	parser/oracle_dispatch.rs	L05	2.2	Crowd-Control Warden
Effect:remove::{M}, {M}: remove any number of counters from	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Rhys, the Evermore
Effect:put::put up to N lore counters on it	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Esper Terra
Effect:phase::you control target opponent during their next combat	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Secret of Bloodbending
Effect:only::only land creatures can attack during that combat	1	1	1.00	parser/oracle_effect/	L11	2.2	Bumi, Unleashed
Effect:lose::lose life equal to the mana value of	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Parker Luck
Effect:lose::lose all other card types	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Vraska, the Silencer
Effect:look::look at twice N cards from the top	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Stargaze
Effect:it's::it's a treasure artifact with "{M}, sacrifice ~:	1	1	1.00	parser/oracle_effect/become_copy_except.rs	L14	2.2	Vraska, the Silencer
Effect:gain::gain this card's other abilities	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	Symbiote Spider-Man
Effect:for::for each player, you choose a creature that	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Winnowing
Effect:for::for each player, choose up to N other	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Kitesail Larcenist
Effect:for::for each player, choose a creature with power	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Unstable Glyphbridge
Effect:for::for each other player, exile up to N	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Kaya, Spirits' Justice
Effect:for::for each of those opponents who didn't discard	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Hollow Marauder
Effect:for::for each of those creatures, create a monster	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Become Brutes
Effect:for::for each of N target permanents, create N	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Doppelgang
Effect:for::for each mana in this ability's activation cost,	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Heirloom Epic
Effect:for::for each creature you control with power greater	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Sovereign Okinec Ahau
Effect:for::for each color, put a +N/+N counter on	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Call the Spirit Dragons
Effect:for::for each card you put on top of	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Starving Revenant
Effect:for::for each blight counter on it	1	1	1.00	parser/oracle_effect/search.rs	L08	2.2	Rottenmouth Viper
Effect:fearless::fearless l'cie, you may pay {M}	1	1	1.00	parser/oracle_effect/	L11	2.2	Vanille, Cheerful l'Cie
Effect:discover::discover again for the same value	1	1	1.00	parser/oracle_effect/mod.rs	L03	2.2	Curator of Sun's Creation
Effect:creatures::creatures target opponent controls lose first strike and	1	1	1.00	parser/oracle_effect/mana.rs	L07	2.2	Quick Draw
Effect:create::create a green fungus dinosaur creature token with	1	1	1.00	parser/oracle_effect/imperative.rs	L02	2.2	The Skullspore Nexus
