Nahiri, the Unforgiving	1	Effect:attack	Compleated ({R/W/P} can be paid with {R}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.) / [+1]: Until your next turn, up to one target creature attacks a player each combat if able. / [+1]: Discard a card, then draw a card. / [0]: Exile target creature or Equipment card with mana value less than Nahiri's loyalty from your graveyard. Create a token that's a copy of it. That token gains haste. Exile it at the beginning of the next end step.
Sarkhan's Whelp	1	Trigger:Whenever you activate an ability of a Sarkhan planeswalker	Flying (This creature can't be blocked except by creatures with flying or reach.) / Whenever you activate an ability of a Sarkhan planeswalker, this creature deals 1 damage to any target.
Vincent's Limit Break	3	Effect:{0};Effect:{1};Effect:{3}	Tiered (Choose one additional cost.) / Until end of turn, target creature you control gains "When this creature dies, return it to the battlefield tapped under its owner's control" and has the chosen base power and toughness. / • Galian Beast — {0} — 3/2. / • Death Gigas — {1} — 5/2. / • Hellmasker — {3} — 7/2.
Sheriff of Safe Passage	1	Swallow:DynamicQty	This creature enters with a +1/+1 counter on it plus an additional +1/+1 counter on it for each other creature you control. / Plot {1}{W} (You may pay {1}{W} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)
Conjured Currency	1	Effect:exchange	At the beginning of your upkeep, you may exchange control of this enchantment and target permanent you neither own nor control.
Spectral Shift	1	Effect:change	Choose one — / • Change the text of target spell or permanent by replacing all instances of one basic land type with another. (This effect lasts indefinitely.) / • Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.) / Entwine {2} (Choose both if you pay the entwine cost.)
Captured by the Consulate	1	Effect:change	Enchant creature you don't control / Enchanted creature can't attack. / Whenever an opponent casts a spell, if it has a single target, change the target to enchanted creature if able.
Rhys, the Evermore	1	Effect:remove	Flash / When Rhys enters, another target creature you control gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.) / {W}, {T}: Remove any number of counters from target creature you control. Activate only as a sorcery.
Ajani, Strength of the Pride	1	Effect:gain	[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control. / [−2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with "Whenever you gain life, put a +1/+1 counter on this token." / [0]: If you have at least 15 life more than your starting life total, exile Ajani and each artifact and creature your opponents control.
Katilda, Dawnhart Prime	1	Effect:add	Protection from Werewolves / Human creatures you control have "{T}: Add one mana of any of this creature's colors." / {4}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.
Huatli, Warrior Poet	1	Effect:creatures	[+2]: You gain life equal to the greatest power among creatures you control. / [0]: Create a 3/3 green Dinosaur creature token with trample. / [−X]: Huatli deals X damage divided as you choose among any number of target creatures. Creatures dealt damage this way can't block this turn.
Reverse the Sands	1	Effect:redistribute	Redistribute any number of players' life totals. (Each of those players gets one life total back.)
Sharkey, Tyrant of the Shire	2	Effect:static_structure;Effect:unknown	Activated abilities of lands your opponents control can't be activated unless they're mana abilities. / Sharkey has all activated abilities of lands your opponents control except mana abilities. / Mana of any type can be spent to activate Sharkey's abilities.
Scrapdiver Serpent	0		This creature can't be blocked as long as defending player controls an artifact.
Hostile Negotiations	1	Effect:look	Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. You lose 3 life.
Orator of Ojutai	1	Swallow:Condition_If	As an additional cost to cast this spell, you may reveal a Dragon card from your hand. / Defender, flying / When this creature enters, if you revealed a Dragon card or controlled a Dragon as you cast this spell, draw a card.
Bruna, Light of Alabaster	1	Effect:put	Flying, vigilance / Whenever Bruna attacks or blocks, you may attach to it any number of Auras on the battlefield and you may put onto the battlefield attached to it any number of Aura cards that could enchant it from your graveyard and/or hand.
Everlasting Torment	1	Effect:effect_structure	Players can't gain life. / Damage can't be prevented. / All damage is dealt as though its source had wither. (A source with wither deals damage to creatures in the form of -1/-1 counters.)
Charging Hooligan	1	Swallow:Condition_If	Whenever this creature attacks, it gets +1/+0 until end of turn for each attacking creature. If a Rat is attacking, this creature gains trample until end of turn.
Imperiosaur	1	Effect:unknown	Spend only mana produced by basic lands to cast this spell.
Outmuscle	1	Effect:the	Put a +1/+1 counter on target creature you control, then it fights target creature you don't control. (Each deals damage equal to its power to the other.) / Adamant — If at least three green mana was spent to cast this spell, the creature you control gains indestructible until end of turn.
Hall of the Bandit Lord	1	Swallow:Condition_If	Hall of the Bandit Lord enters tapped. / {T}, Pay 3 life: Add {C}. If that mana is spent on a creature spell, it gains haste.
Crowd-Control Warden	1	Effect:replacement_structure	As this creature enters or is turned face up, put X +1/+1 counters on it, where X is the number of other creatures you control. / Disguise {3}{G/W}{G/W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
Deliver Unto Evil	1	Effect:leave	Choose up to four target cards in your graveyard. If you control a Bolas planeswalker, return those cards to your hand. Otherwise, an opponent chooses two of them. Leave the chosen cards in your graveyard and put the rest into your hand. / Exile Deliver Unto Evil.
Polis Crusher	1	Swallow:Condition_If	Trample, protection from enchantments / {4}{R}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.) / Whenever this creature deals combat damage to a player, if this creature is monstrous, destroy target enchantment that player controls.
Hungering Yeti	1	Swallow:Optional_YouMay	As long as you control a green or blue permanent, you may cast this spell as though it had flash. (You may cast it any time you could cast an instant.)
Oviya, Automech Artisan	1	Swallow:Condition_If	Each creature that's attacking one of your opponents has trample. / {G}, {T}: You may put a creature or Vehicle card from your hand onto the battlefield. If you put an artifact onto the battlefield this way, put two +1/+1 counters on it.
Pyxis of Pandemonium	1	Effect:turn	{T}: Each player exiles the top card of their library face down. / {7}, {T}, Sacrifice this artifact: Each player turns face up all cards they own exiled with this artifact, then puts all permanent cards among them onto the battlefield.
Primal Prayers	1	Swallow:Condition_If	When this enchantment enters, you get {E}{E} (two energy counters). / You may cast creature spells with mana value 3 or less by paying {E} rather than paying their mana costs. If you cast a spell this way, you may cast it as though it had flash.
Sewer Crocodile	1	Effect:this	{3}{U}: This creature can't be blocked this turn. This ability costs {3} less to activate if there are five or more mana values among cards in your graveyard.
Treacherous Greed	1	Swallow:Duration_ThisTurn	As an additional cost to cast this spell, sacrifice a creature that dealt damage this turn. / Draw three cards. Each opponent loses 3 life and you gain 3 life.
Herigast, Erupting Nullkite	1	Effect:static_structure	Emerge {6}{R}{R} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) / When you cast this spell, you may exile your hand. If you do, draw three cards. / Flying / Each creature spell you cast has emerge. The emerge cost is equal to its mana cost.
Guild Feud	1	Effect:you	At the beginning of your upkeep, target opponent reveals the top three cards of their library, may put a creature card from among them onto the battlefield, then puts the rest into their graveyard. You do the same with the top three cards of your library. If two creatures are put onto the battlefield this way, those creatures fight each other.
Plagiarize	1	Effect:instead	Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.
Confusion in the Ranks	1	Effect:exchange	Whenever an artifact, creature, or enchantment enters, its controller chooses target permanent another player controls that shares a card type with it. Exchange control of those permanents.
Hinder	1	Swallow:Condition_If	Counter target spell. If that spell is countered this way, put that card on your choice of the top or bottom of its owner's library instead of into that player's graveyard.
Cloister Gargoyle	0		When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.) / As long as you've completed a dungeon, this creature gets +3/+0 and has flying.
Favor of the Mighty	1	Effect:static_structure	Each creature with the greatest mana value has protection from each color.
Narset Transcendent	2	Effect:nonland;Effect:when	[+1]: Look at the top card of your library. If it's a noncreature, nonland card, you may reveal it and put it into your hand. / [−2]: When you next cast an instant or sorcery spell from your hand this turn, it gains rebound. (Exile the spell as it resolves. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.) / [−9]: You get an emblem with "Your opponents can't cast noncreature spells."
Grim Wanderer	0		Flash / Tragic Backstory — Cast this spell only if a creature died this turn.
Neurok Spy	0		This creature can't be blocked as long as defending player controls an artifact.
Rune-Tail, Kitsune Ascendant	2	Effect:flip;Trigger:When you have 30 or more life	When you have 30 or more life, flip Rune-Tail.
Monument to Perfection	1	Effect:lose	{3}, {T}: Search your library for a basic, Sphere, or Locus land card, reveal it, put it into your hand, then shuffle. / {3}: This artifact becomes a 9/9 Phyrexian Construct artifact creature, loses all abilities, and gains indestructible and toxic 9. Activate only if there are nine or more lands with different names among the basic, Sphere, and Locus lands you control.
Duplicant	0		Imprint — When this creature enters, you may exile target nontoken creature. / As long as a card exiled with this creature is a creature card, this creature has the power, toughness, and creature types of the last creature card exiled with it. It's still a Shapeshifter.
Soulfire Grand Master	1	Effect:the	Lifelink / Instant and sorcery spells you control have lifelink. / {2}{U/R}{U/R}: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves.
Cloud, Planet's Champion	1	Swallow:Condition_AsLongAs	During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular combat damage. Damage and effects that say "destroy" don't destroy this creature.) / Equip abilities you activate that target Cloud cost {2} less to activate.
Verdant Mastery	1	Swallow:Condition_If	You may pay {3}{G} rather than pay this spell's mana cost. / Search your library for up to four basic land cards and reveal them. Put one of them onto the battlefield tapped under an opponent's control if the {3}{G} cost was paid. Put two of them onto the battlefield tapped under your control and the rest into your hand. Then shuffle.
Stalking Yeti	1	Swallow:Condition_If	When this creature enters, if it's on the battlefield, it deals damage equal to its power to target creature an opponent controls and that creature deals damage equal to its power to this creature. / {2}{S}: Return this creature to its owner's hand. Activate only as a sorcery. ({S} can be paid with one mana from a snow source.)
Security Bypass	0		Enchant creature / As long as enchanted creature is attacking alone, it can't be blocked. / Enchanted creature has "Whenever this creature deals combat damage to a player, it connives." (Its controller draws a card, then discards a card. If they discarded a nonland card, they put a +1/+1 counter on this creature.)
Porphyry Nodes	1	Trigger:When there are no creatures on the battlefield	At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them. / When there are no creatures on the battlefield, sacrifice this enchantment.
Struggle for Sanity	1	Effect:repeat	Target opponent reveals their hand. That player exiles a card from it, then you exile a card from it. Repeat this process until all cards in that hand have been exiled. That player returns the cards they exiled this way to their hand and puts the rest into their graveyard.
Hundred-Battle Veteran	0		As long as there are three or more different kinds of counters among creatures you control, this creature gets +2/+4. / You may cast this card from your graveyard. If you do, it enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)
Wicked Akuba	1	Swallow:Duration_ThisTurn	{B}: Target player dealt damage by this creature this turn loses 1 life.
Disturbing Conversion	1	Effect:static_structure	Flash / Enchant creature / When this Aura enters, each player mills two cards. / Enchanted creature gets -X/-0, where X is the number of cards in its controller's graveyard.
Double Major	1	Swallow:Condition_If	Copy target creature spell you control, except it isn't legendary if the spell is legendary. (A copy of a creature spell becomes a token.)
Delina, Wild Mage	1	Swallow:Optional_YouMay	Whenever Delina attacks, choose target creature you control, then roll a d20. / 1—14 | Create a tapped and attacking token that's a copy of that creature, except it's not legendary and it has "At end of combat, exile this token." / 15—20 | Create one of those tokens. You may roll again.
Render Silent	1	Effect:can't	Counter target spell. Its controller can't cast spells this turn.
Sanctum Prelate	1	Swallow:DynamicQty	As this creature enters, choose a number. / Noncreature spells with mana value equal to the chosen number can't be cast.
Vengeful Rebirth	1	Swallow:Condition_If	Return target card from your graveyard to your hand. If you return a nonland card to your hand this way, Vengeful Rebirth deals damage equal to that card's mana value to any target. / Exile Vengeful Rebirth.
Sen Triplets	3	Effect:or;Effect:play;Effect:this	At the beginning of your upkeep, choose target opponent. This turn, that player can't cast spells or activate abilities and plays with their hand revealed. You may play lands and cast spells from that player's hand this turn.
Combat Celebrant	1	Swallow:Duration_ThisTurn	If this creature hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after this phase, there is an additional combat phase. (An exerted creature won't untap during your next untap step.)
Waking the Trolls	1	Swallow:Condition_If	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) / I — Destroy target land. / II — Put target land card from a graveyard onto the battlefield under your control. / III — Choose target opponent. If they control fewer lands than you, create a number of 4/4 green Troll Warrior creature tokens with trample equal to the difference.
Ashiok, Wicked Manipulator	2	Swallow:Duration_ThisTurn;Swallow:DynamicQty	If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead. / [+1]: Look at the top two cards of your library. Exile one of them and put the other into your hand. / [−2]: Create two 1/1 black Nightmare creature tokens with "At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token." / [−7]: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.
Racers' Scoreboard	0		Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) / When this artifact enters, draw two cards, then discard a card. / Max speed — Spells you cast cost {1} less to cast.
Gutter Skulker	0		This creature can't be blocked as long as it's attacking alone. / Disturb {3}{U} (You may cast this card from your graveyard transformed for its disturb cost.)
Zada, Hedron Grinder	1	Swallow:DynamicQty	Whenever you cast an instant or sorcery spell that targets only Zada, copy that spell for each other creature you control that the spell could target. Each copy targets a different one of those creatures.
Bladecoil Serpent	1	Effect:for	When this creature enters, for each {U}{U} spent to cast it, draw a card. / When this creature enters, for each {B}{B} spent to cast it, each opponent discards a card. / When this creature enters, for each {R}{R} spent to cast it, it gets +1/+0 and gains trample and haste until end of turn.
Masako the Humorless	1	Effect:unknown	Flash / Tapped creatures you control can block as though they were untapped.
Holy Frazzle-Cannon	1	Effect:each	Whenever equipped creature attacks, put a +1/+1 counter on that creature and each other creature you control that shares a creature type with it. / Equip {1}
Necrogen Rotpriest	1	Effect:get	Toxic 2 (Players dealt combat damage by this creature also get two poison counters.) / Whenever a creature you control with toxic deals combat damage to a player, that player gets an additional poison counter. / {1}{B}{G}: Target creature you control with toxic gains deathtouch until end of turn.
Titans' Nest	1	Effect:spend	At the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) / Exile a card from your graveyard: Add {C}. Spend this mana only to cast a spell that's one or more colors without {X} in its mana cost.
Demonlord Belzenlok	1	Effect:repeat	Flying, trample / When Demonlord Belzenlok enters, exile cards from the top of your library until you exile a nonland card, then put that card into your hand. If the card's mana value is 4 or greater, repeat this process. Demonlord Belzenlok deals 1 damage to you for each card put into your hand this way.
Eidolon of Countless Battles	1	Swallow:DynamicQty	Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) / This creature and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.
Gix, Yawgmoth Praetor	1	Effect:play	Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card. / {4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs.
Circle of Affliction	1	Trigger:Whenever a source of the chosen color deals damage to you	As this enchantment enters, choose a color. / Whenever a source of the chosen color deals damage to you, you may pay {1}. If you do, target player loses 1 life and you gain 1 life.
Stalwart Successor	2	Swallow:Condition_If;Swallow:Duration_ThisTurn	Menace (This creature can't be blocked except by two or more creatures.) / Whenever one or more counters are put on a creature you control, if it's the first time counters have been put on that creature this turn, put a +1/+1 counter on that creature.
Jushi Apprentice	1	Effect:flip	{2}{U}, {T}: Draw a card. If you have nine or more cards in hand, flip this creature.
Discerning Taste	1	Effect:gain	Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard. You gain life equal to the greatest power among creature cards put into your graveyard this way.
Master of Predicaments	1	Effect:that	Flying / Whenever this creature deals combat damage to a player, choose a card in your hand. That player guesses whether the card's mana value is greater than 4. If the player guessed wrong, you may cast the card without paying its mana cost.
Panglacial Wurm	1	Effect:unknown	Trample / While you're searching your library, you may cast this card from your library.
Niko Defies Destiny	1	Effect:spend	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) / I — You gain 2 life for each foretold card you own in exile. / II — Add {W}{U}. Spend this mana only to foretell cards or cast spells that have foretell. / III — Return target card with foretell from your graveyard to your hand.
Celestial Dawn	2	Effect:effect_structure;Effect:static_structure	Lands you control are Plains. / Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield. / You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.
Nine Lives	1	Trigger:When there are nine or more incarnation counters on ~	Hexproof / If a source would deal damage to you, prevent that damage and put an incarnation counter on this enchantment. / When there are nine or more incarnation counters on this enchantment, exile it. / When this enchantment leaves the battlefield, you lose the game.
Haktos the Unscarred	1	Effect:unknown	Haktos attacks each combat if able. / As Haktos enters, choose 2, 3, or 4 at random. / Haktos has protection from each mana value other than the chosen number.
Liar's Pendulum	1	Effect:target	{2}, {T}: Choose a card name. Target opponent guesses whether a card with that name is in your hand. You may reveal your hand. If you do and your opponent guessed wrong, draw a card.
Hired Muscle	1	Effect:flip	Whenever you cast a Spirit or Arcane spell, you may put a ki counter on this creature. / At the beginning of the end step, if there are two or more ki counters on this creature, you may flip it.
Viral Spawning	0		Create a 3/3 green Phyrexian Beast creature token with toxic 1. (Players dealt combat damage by it also get a poison counter.) / Corrupted — As long as an opponent has three or more poison counters and this card is in your graveyard, it has flashback {2}{G}. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Graceful Reprieve	1	Trigger:When target creature dies this turn	When target creature dies this turn, return that card to the battlefield under its owner's control.
Curious Obsession	1	Swallow:Duration_ThisTurn	Enchant creature / Enchanted creature gets +1/+1 and has "Whenever this creature deals combat damage to a player, you may draw a card." / At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice this Aura.
Path of Bravery	0		As long as your life total is greater than or equal to your starting life total, creatures you control get +1/+1. / Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.
Tail Swipe	1	Effect:target	Choose target creature you control and target creature you don't control. If you cast this spell during your main phase, the creature you control gets +1/+1 until end of turn. Then those creatures fight each other. (Each deals damage equal to its power to the other.)
Invoke Calamity	2	Swallow:Condition_If;Swallow:Optional_YouMay	You may cast up to two instant and/or sorcery spells with total mana value 6 or less from your graveyard and/or hand without paying their mana costs. If those spells would be put into your graveyard, exile them instead. Exile Invoke Calamity.
Recommission	1	Swallow:Condition_If	Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters this way, it enters with an additional +1/+1 counter on it.
Skyclave Shade	2	Effect:if;Effect:it's	Kicker {2}{B} / This creature can't block. / If this creature was kicked, it enters with two +1/+1 counters on it. / Landfall — Whenever a land you control enters, if this card is in your graveyard and it's your turn, you may cast it from your graveyard this turn.
Professor Onyx	1	Effect:repeat	Magecraft — Whenever you cast or copy an instant or sorcery spell, each opponent loses 2 life and you gain 2 life. / [+1]: You lose 1 life. Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard. / [−3]: Each opponent sacrifices a creature with the greatest power among creatures that player controls. / [−8]: Each opponent may discard a card. If they don't, they lose 3 life. Repeat this process six more times.
Become Brutes	1	Effect:for	One or two target creatures each gain haste until end of turn. For each of those creatures, create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)
Restless Prairie	0		This land enters tapped. / {T}: Add {G} or {W}. / {2}{G}{W}: This land becomes a 3/3 green and white Llama creature until end of turn. It's still a land. / Whenever this land attacks, other creatures you control get +1/+1 until end of turn.
Null Champion	0		Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.) / LEVEL 1-3 / 4/2 / LEVEL 4+ / 7/3 / {B}: Regenerate this creature.
Sigil Captain	1	Swallow:Condition_If	Whenever a creature you control enters, if that creature is 1/1, put two +1/+1 counters on it.
Play with Fire	1	Swallow:Condition_If	Play with Fire deals 2 damage to any target. If a player is dealt damage this way, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
Doppelgang	1	Effect:for	For each of X target permanents, create X tokens that are copies of that permanent.
Fall	1	Effect:discard	Target player reveals two cards at random from their hand, then discards each nonland card revealed this way.
Wretched Banquet	1	Swallow:Condition_If	Destroy target creature if it has the least power or is tied for least power among creatures on the battlefield.
Dubious Challenge	1	Effect:choose	Look at the top ten cards of your library, exile up to two creature cards from among them, then shuffle. Target opponent may choose one of the exiled cards and put it onto the battlefield under their control. Put the rest onto the battlefield under your control.
Deicide	1	Effect:search	Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles.
Quicksilver Fountain	1	Effect:have	At the beginning of each player's upkeep, that player puts a flood counter on target non-Island land they control of their choice. That land is an Island for as long as it has a flood counter on it. / At the beginning of each end step, if all lands on the battlefield are Islands, remove all flood counters from them.
Structural Collapse	1	Effect:a	Target player sacrifices an artifact and a land of their choice. Structural Collapse deals 2 damage to that player.
Guul Draz Assassin	0		Level up {1}{B} ({1}{B}: Put a level counter on this. Level up only as a sorcery.) / LEVEL 2-3 / 2/2 / {B}, {T}: Target creature gets -2/-2 until end of turn. / LEVEL 4+ / 4/4 / {B}, {T}: Target creature gets -4/-4 until end of turn.
Aether Revolt	2	Swallow:Condition_AsLongAs;Swallow:Condition_If	Revolt — As long as a permanent left the battlefield under your control this turn, if a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead. / Whenever you get one or more {E}, this enchantment deals that much damage to any target.
Icebreaker Kraken	1	Effect:artifacts	Affinity for snow lands (This spell costs {1} less to cast for each snow land you control.) / When this creature enters, artifacts and creatures target opponent controls don't untap during that player's next untap step. / Return three snow lands you control to their owner's hand: Return this creature to its owner's hand.
Lukka, Coppercoat Outcast	1	Swallow:Condition_AsLongAs	[+1]: Exile the top three cards of your library. Creature cards exiled this way gain "You may cast this card from exile as long as you control a Lukka planeswalker." / [−2]: Exile target creature you control, then reveal cards from the top of your library until you reveal a creature card with greater mana value. Put that card onto the battlefield and the rest on the bottom of your library in a random order. / [−7]: Each creature you control deals damage equal to its power to each opponent.
Predator's Gambit	0		Enchant creature / Enchanted creature gets +2/+1. / Enchanted creature has intimidate as long as its controller controls no other creatures. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)
The Rollercrusher Ride	1	Swallow:Condition_If	Delirium — If a source you control would deal noncombat damage to a permanent or player while there are four or more card types among cards in your graveyard, it deals double that damage instead. / When The Rollercrusher Ride enters, it deals X damage to each of up to X target creatures.
