Ascendant Packleader	1	DBL;PRM;PVOW;VOW	Swallow:Condition_If	Condition_If — This creature enters with a +1/+1 counter on it if you control a permanent with mana value 4 or greater. Whenever you cast a spell with mana
Ascent of the Worthy	1	KHM	Effect:all	all damage that would be dealt to creatures you control is dealt to that creature instead
As Foretold	1	2X2;AKH;AKR;PAKH;WHO;WOT	Effect:unknown	Once each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on ~.
Ashes of the Fallen	1	SOK	Effect:static_structure	Each creature card in your graveyard has the chosen creature type in addition to its other types.
Ashiok, Wicked Manipulator	2	PWOE;WOE	Swallow:Duration_ThisTurn;Swallow:DynamicQty	DynamicQty — If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead. [+1
Asmodeus the Archfiend	1	AFR;PAFR;PRM	Swallow:Condition_If	Condition_If — Binding Contract — If you would draw a card, exile the top card of your library face down instead. {B}{B}{B}: Draw seven cards. {B}: Retur
Assimilate Essence	1	MOM	Effect:you	you incubate 2
Atemsis, All-Seeing	1	M20;PM20	Swallow:Condition_If	Condition_If — Flying {2}{U}, {T}: Draw two cards, then discard a card. Whenever Atemsis deals damage to an opponent, you may reveal your hand. If cards wi
Athreos, God of Passage	1	JOU;PIO;PLST;SLD	Effect:Unsupported unless clause	return it to your hand unless target opponent pays 3 life (unless: target opponent pays 3 life)
Atraxa, Grand Unifier	2	FCA;ONE;PONE	Swallow:DynamicQty;Swallow:Optional_YouMay	Optional_YouMay — Flying, vigilance, deathtouch, lifelink When Atraxa enters, reveal the top ten cards of your library. For each card type, you may put a card
Auditore Ambush	1	ACR	Swallow:Condition_If	Condition_If — Choose one or both — • Return target creature to its owner's hand. • Target player searches their library and/or graveyard for a card 
Auratouched Mage	2	PC2;PCA;PSAL;RAV	Effect:otherwise;Effect:reveal	Otherwise
Aurelia's Fury	1	GTC;PIO;PLST	Effect:players	Players dealt damage this way can't cast noncreature spells
Auspicious Starrix	1	IKO;PRM	Swallow:DynamicQty	DynamicQty — Mutate {5}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the crea
Avacyn's Judgment	1	C19;PSOI;SIR;SOI;VOC	Swallow:Condition_If	Condition_If — Madness {X}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.) A
Avatar Aang	2	PTLA;TLA	Swallow:Condition_If;Swallow:Duration_ThisTurn	Condition_If — Flying, firebending 2 Whenever you waterbend, earthbend, firebend, or airbend, draw a card. Then if you've done all four this turn, transfor
Aven Heartstabber	0	PSNC;SNC	NO-GAP-DETAILS	
Aven Mindcensor	1	AKH;AKR;CLB;FUT;MP2;PAKH;PLG21;PLST;TSR	Effect:replacement_structure	If an opponent would search a library, that player searches the top four cards of that library instead.
Awaken the Sleeper	1	ONE	Swallow:Condition_If	Condition_If — Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If it's equipped, you may destroy 
Azor's Gateway	1	PLST;PRIX;RIX	Swallow:Condition_If	Condition_If — {1}, {T}: Draw a card, then exile a card from your hand. If cards with five or more different mana values are exiled with Azor's Gateway, yo
Azor, the Lawbringer	1	PRIX;RIX	Effect:during	during that player's next turn
Balduvian Fallen	1	CSP	Trigger:Whenever ~'s cumulative upkeep is paid	Whenever ~'s cumulative upkeep is paid, it gets +1/+0 until end of turn for each {B} or {R} spent this way.
Balduvian Warlord	2	CSP;PLST	Effect:block;Effect:creatures	Creatures it was blocking that hadn't become blocked by another creature this combat become unblocked
Ballista Wielder	1	DBL;VOW	Effect:a	A creature dealt damage this way can't block
Ballroom Brawlers	1	SNC	Effect:~	~ and up to one other target creature you control both gain your choice of first strike or lifelink
Balthier and Fran	1	FIN;PFIN	Trigger:Whenever a Vehicle crewed by ~ this turn attacks	Whenever a Vehicle crewed by ~ this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an ad
Bane Alley Broker	1	GTC	Effect:effect_structure	You may look at cards exiled with ~.
Baneclaw Marauder	1	DBL;MID	Trigger:Whenever a creature blocking ~ dies	Whenever a creature blocking ~ dies, that creature's controller loses 1 life.
Barbarian Class	1	AFR	Effect:unknown	If you would roll one or more dice, instead roll that many dice plus one and ignore the lowest roll.
Barrel Down Sokenzan	1	SOK	Effect:deal	deal damage to target creature equal to twice the number of Mountains returned this way
Barren Glory	2	FUT	Effect:have;Effect:if	if you control no permanents other than ~
Barrowin of Clan Undurr	1	AFR	Swallow:Condition_If	Condition_If — When Barrowin enters, venture into the dungeon. (Enter the first room or advance to the next room.) Whenever Barrowin attacks, return up to 
Baru, Fist of Krosa	1	FUT	Cost:Fist of Krosa	Fist of Krosa
Battle Cry Goblin	1	AFR;HBG;J25;PLST	Swallow:Condition_If	Condition_If — {1}{R}: Goblins you control get +1/+0 and gain haste until end of turn. Pack tactics — Whenever this creature attacks, if you attacked wit
Battle for Bretagard	1	CMM;KHM;PKHM	Swallow:DynamicQty	DynamicQty — (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Create a 1/1 white Human Warrior creature tok
Beamsplitter Mage	1	GRN	Effect:the	The copy targets the chosen creature
Beastbreaker of Bala Ged	0	DDP;PLST;ROE	NO-GAP-DETAILS	
Become Anonymous	2	ACR	Effect:shuffle;Effect:they	shuffle that pile, then cloak those cards
Become Brutes	1	WOE	Effect:for	For each of those creatures, create a Monster Role token attached to it
Berg Strider	1	J22;KHM;PLST	Swallow:Condition_If	Condition_If — When this creature enters, tap target artifact or creature an opponent controls. If {S} was spent to cast this spell, that permanent doesn't
Betrayal of Flesh	1	MRD;PHUK;PLST;PSAL	Effect:entwine—sacrifice	Entwine—Sacrifice three lands.
Bill the Pony	1	LTR	Effect:assign	Sacrifice a Food: Until end of turn, target creature you control assigns combat damage equal to its toughness rather than its power.
Biomancer's Familiar	1	PRNA;RNA	Effect:the	{T}: The next time target creature adapts this turn, it adapts as though it had no +1/+1 counters on it.
Bioplasm	1	GPT	Effect:get	get +X/+Y
Birgi, God of Storytelling	1	KHM;PKHM;PRM	Swallow:DynamicQty	DynamicQty — Whenever you cast a spell, add {R}. Until end of turn, you don't lose this mana as steps and phases end. Creatures you control can boast twi
Bladecoil Serpent	1	BRO;PBRO;PRM	Effect:for	for each {U}{U} spent to cast it, draw a card
Blade of Shared Souls	1	ONE;PONE	Effect:have	have that creature become a copy of another target creature you control
Blasphemous Edict	1	FDN;PFDN	Swallow:Condition_If	Condition_If — You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield. Each player sacrifices th
Blightbeetle	1	M20;PLST	Effect:static_structure	Creatures your opponents control can't have +1/+1 counters put on them.
Blinding Powder	1	BOK	Effect:unattach	Unattach ~: Prevent all combat damage that would be dealt to ~ this turn.
Blinkmoth Nexus	0	2XM;DST;EOS;HA4;MM2;MMA;TD2;WC04	NO-GAP-DETAILS	
Blizzard Brawl	1	KHM	Effect:target	target creature you don't control
Bloodfire Enforcers	0	FRF;PIO	NO-GAP-DETAILS	
Bloodsoaked Insight	1	MH3	Swallow:Condition_If	Condition_If — This spell costs {1} less to cast for each 1 life your opponents have lost this turn. Target opponent exiles the top three cards of their li
Bloodthirsty Adversary	1	DBL;MID;OTC;PMID;PRM	Effect:when	When you pay this cost one or more times, put that many +1/+1 counters on ~, then exile up to that many target instant and/or sorcery cards with mana value 3 or
Blow Your House Down	1	ELD;PLST	ParseWarning:target-fallback	[warning:target-fallback] parse_target could not classify 'any of them that are Walls'
Bludgeon Brawl	1	NPH	Effect:static_structure	Each noncreature, non-Equipment artifact is an Equipment with equip {X} and "Equipped creature gets +X/+0," where X is that artifact's mana value.
Bonds of Faith	0	DDL;DDQ;ISD;J21;PLST;SIS	NO-GAP-DETAILS	
Bonecache Overseer	1	BLB	Swallow:Condition_If	Condition_If — {T}, Pay 1 life: Draw a card. Activate only if three or more cards left your graveyard this turn or if you've sacrificed a Food this turn.
Bonepicker Skirge	0	ONE	NO-GAP-DETAILS	
Boneyard Parley	1	C19;PXLN;XLN	Effect:an	An opponent separates those cards into two piles
Booby Trap	2	9ED;PSAL;TMP	Effect:unknown;Trigger:When the chosen player draws a card with the chosen name	The chosen player reveals each card they draw.
Boreal Outrider	1	KHM	Swallow:Condition_If	Condition_If — Whenever you cast a creature spell, if {S} of any of that spell's colors was spent to cast it, that creature enters with an additional +1/+1
Boros Battleshaper	1	DGM	Swallow:Condition_If	Condition_If — At the beginning of each combat, up to one target creature attacks or blocks this combat if able and up to one target creature can't attack 
Boseiju, Who Shelters All	1	CHK;LTC;SLD;V12	Swallow:Condition_If	Condition_If — Boseiju enters tapped. {T}, Pay 2 life: Add {C}. If that mana is spent on an instant or sorcery spell, that spell can't be countered.
Botanical Brawler	2	MOM	Swallow:Condition_If;Swallow:Duration_ThisTurn	Condition_If — Trample This creature enters with two +1/+1 counters on it. Whenever one or more +1/+1 counters are put on another permanent you control, if
Bounding Felidar	1	OTJ	Swallow:DynamicQty	DynamicQty — Whenever this creature attacks while saddled, put a +1/+1 counter on each other creature you control. You gain 1 life for each of those crea
Bounty of Might	0	GRN;PGRN	NO-GAP-DETAILS	
Bounty of the Luxa	1	2X2;AKH;C19;PAKH	Effect:otherwise	Otherwise
Braided Net	1	LCI	Swallow:Condition_AsLongAs	Condition_AsLongAs — This artifact enters with three net counters on it. {T}, Remove a net counter from this artifact: Tap another target nonland permanent. Its
Braids's Frightful Return	0	DMU	NO-GAP-DETAILS	
Brain Pry	1	DIS	Swallow:Condition_If	Condition_If — Choose a nonland card name. Target player reveals their hand. That player discards a card with that name. If they can't, you draw a card.
Brass Knuckles	0	CMM;PIP;SNC	NO-GAP-DETAILS	
Breach the Multiverse	1	MOM;PMOM	Swallow:DynamicQty	DynamicQty — Each player mills ten cards. For each player, choose a creature or planeswalker card in that player's graveyard. Put those cards onto the ba
Break the Spell	1	WOE	Swallow:Condition_If	Condition_If — Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card.
Breathless Knight	1	J21;MH2	Swallow:Condition_If	Condition_If — Flying, lifelink Whenever this creature or another creature you control enters, if that creature entered from a graveyard or you cast it fro
Bre of Clan Stoutarm	1	ECL;PECL	Effect:otherwise	Otherwise
Bride's Gown	0	DBL;VOW	NO-GAP-DETAILS	
Brilliance Unleashed	1	TMT	Effect:it's	it's a 3/3 Robot artifact creature with flying
Brilliant Ultimatum	2	ALA	Effect:an;Effect:play	An opponent separates those cards into two piles
Brimstone Mage	0	PLST;ROE	NO-GAP-DETAILS	
Brine Elemental	1	A25;C14;DD2;JVC;PLST;TSP;TSR	Effect:skip	skip their next untap step
Bronze Bombshell	1	DIS	Trigger:When a player other than ~'s owner controls it	When a player other than ~'s owner controls it, that player sacrifices it. If the player does, ~ deals 7 damage to the player.
Brothers Yamazaki	1	CHK;J25;PLST	Effect:static_structure	If there are exactly two permanents named Brothers Yamazaki on the battlefield, the "legend rule" doesn't apply to them.
Bruna, Light of Alabaster	1	AVR;C18;PHEL;SLD	Effect:put	put onto the battlefield attached to it any number of Aura cards that could enchant it from your graveyard and/or hand
Brutal Hordechief	2	C16;FRF;PFRF	Effect:choose;Effect:creatures	{3}{R/W}{R/W}: Creatures your opponents control block this turn if able, and you choose how those creatures block.
Budoka Gardener	1	C18;CHK;PLST	Effect:flip	flip ~
Budoka Pupil	1	BOK;PBOK;PRM	Effect:flip	flip it
Bumi, King of Three Trials	2	TLA	Swallow:DynamicQty;Swallow:Modal_DynamicMaxDropped	DynamicQty — When Bumi enters, choose up to X, where X is the number of Lesson cards in your graveyard — • Put three +1/+1 counters on Bumi. • Targ
Bumi, Unleashed	1	PTLA;TLA	Effect:only	Only land creatures can attack during that combat phase
Burn at the Stake	1	AVR	Effect:deal	~ deals damage to any target equal to three times the number of creatures tapped this way.
Burning-Eye Zubera	2	SOK	Swallow:Condition_If;Swallow:Duration_ThisTurn	Condition_If — When this creature dies, if 4 or more damage was dealt to it this turn, this creature deals 3 damage to any target.
Burnout Bashtronaut	0	DFT;PDFT	NO-GAP-DETAILS	
Bushi Tenderfoot	1	CHK	Effect:flip	flip ~
Cache Grab	1	BLB	Swallow:Condition_If	Condition_If — Mill four cards. You may put a permanent card from among the cards milled this way into your hand. If you control a Squirrel or returned a S
Caged Sun	1	40K;BRR;C14;CM2;NPH;PLST;SLD	Trigger:Whenever a land's ability causes you to add one or more mana of the chosen color	Whenever a land's ability causes you to add one or more mana of the chosen color, add an additional one mana of that color.
Cairn Wanderer	0	C20;LRW;PLST	NO-GAP-DETAILS	
Calamity, Galloping Inferno	1	OTJ;PL26;POTJ	Effect:choose	choose a nonlegendary creature that saddled it this turn
Calix, Guided by Fate	1	MAT	Trigger:Whenever ~	Whenever ~, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn.
Call of the Ring	1	LTR;PLTR	Trigger:Whenever you choose a creature as your Ring-bearer	Whenever you choose a creature as your Ring-bearer, you may pay 2 life. If you do, draw a card.
Callow Jushi	1	BOK	Effect:flip	flip it
Call the Spirit Dragons	1	PTDM;TDM	Effect:for	for each color, put a +1/+1 counter on a Dragon you control of that color
Call to Serve	0	AVR	NO-GAP-DETAILS	
Candles of Leng	1	TSP	Effect:otherwise	Otherwise
Can't Stay Away	1	DBL;MID;PMID;PRM	Effect:"	"
Capricious Hellraiser	1	ONE;PONE	Effect:choose	Choose a noncreature, nonland card from among them and copy it
Captured by the Consulate	1	KLD;PKLD	Effect:change	change the target to enchanted creature if able
Caravan Escort	0	DDG;DDP;PLST;ROE	NO-GAP-DETAILS	
Carnivorous Canopy	1	ONE	Swallow:Condition_If	Condition_If — Destroy target artifact, enchantment, or creature with flying. If that permanent's mana value was 3 or less, proliferate. (Choose any number
Carry Away	1	DST	Effect:unattach	unattach enchanted Equipment
Carth the Lion	1	MH2;PMH2;PRM	Effect:unknown	Planeswalkers' loyalty abilities you activate cost an additional [+1] to activate.
Case File Auditor	1	MKM	Trigger:Whenever you solve a Case	Whenever you solve a Case, look at the top six cards of your library. You may reveal an enchantment card from among them and put it into your hand. Put the rest
Case of the Uneaten Feast	1	MKM;PMKM	Swallow:Optional_YouMay	Optional_YouMay — Whenever a creature you control enters, you gain 1 life. To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beg
Cavernous Maw	2	LCI	Swallow:Condition_If;Swallow:DynamicQty	DynamicQty — {T}: Add {C}. {2}: This land becomes a 3/3 Elemental creature until end of turn. It's still a Cave land. Activate only if the number of othe
Cecil, Dark Knight	0	FIN;PFIN	NO-GAP-DETAILS	
Celestial Dawn	2	6ED;MIR;PLST;TSB	Effect:effect_structure;Effect:static_structure	Nonland permanents you control are white. The same is true for spells you control and nonland cards you own that aren't on the battlefield.
Celestial Reunion	1	ECL;PECL	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, you may choose a creature type and behold two creatures of that type. Search your library for a cr
Cerebral Vortex	1	GK1;GPT	Effect:deal	deal damage to that player equal to the number of cards they've drawn
Chain Assassination	1	ACR	Swallow:Condition_If	Condition_If — Freerunning {1}{B} (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or co
Chancellor of the Annex	1	NPH;PLST	Effect:effect_structure	You may reveal this card from your opening hand. If you do, when each opponent casts their first spell of the game, counter that spell unless that player pays {
Chancellor of the Tangle	1	NPH	Effect:effect_structure	You may reveal this card from your opening hand. If you do, at the beginning of your first main phase of the game, add {G}.
Chandra, Fire Artisan	1	PRM;PWAR;SLD;WAR	Trigger:Whenever one or more loyalty counters are removed from ~	Whenever one or more loyalty counters are removed from ~, she deals that much damage to target opponent or planeswalker.
Chandra, Fire of Kaladesh	1	ORI;PLST;PORI;PS15;V17	Swallow:Duration_ThisTurn	Duration_ThisTurn — Whenever you cast a red spell, untap Chandra. {T}: Chandra deals 1 damage to target player or planeswalker. If Chandra has dealt 3 or more d
Chandra, Pyromaster	1	AKR;E01;M14;M15;PRM;PS14;PSDC	Effect:choose	Choose an instant or sorcery card exiled this way and copy it
Chandra's Regulator	1	M20;PM20;PRM	Trigger:Whenever you activate a loyalty ability of a Chandra planeswalker	Whenever you activate a loyalty ability of a Chandra planeswalker, you may pay {1}. If you do, copy that ability. You may choose new targets for the copy.
Chaos Channeler	1	AFR;PLST	Swallow:Optional_YouMay	Optional_YouMay — Wild Magic Surge — Whenever this creature attacks, roll a d20. 1—9 | Exile the top card of your library. You may play it this turn. 10
Charging Hooligan	1	WOE	Swallow:Condition_If	Condition_If — Whenever this creature attacks, it gets +1/+0 until end of turn for each attacking creature. If a Rat is attacking, this creature gains tram
Check for Traps	1	AFR	Effect:otherwise	Otherwise
Chef's Kiss	1	MH2;PMH2;PRM	Effect:the	The new targets can't be you or a permanent you control
Chisei, Heart of Oceans	1	BOK	Effect:Unsupported unless clause	sacrifice ~ unless you remove a counter from a permanent you control (unless: you remove a counter from a permanent you control)
Choice of Damnations	1	SOK	ParseWarning:target-fallback	[warning:target-fallback] parse_target could not classify 'but that many permanents of their ~'
Choreographed Sparks	1	PSOS;SOS	Effect:the	The copy gains haste and "At the beginning of the end step, sacrifice ~."
Chorus of the Conclave	2	CMD;RAV	Swallow:Condition_If;Swallow:Optional_YouMay	Optional_YouMay — Forestwalk (This creature can't be blocked as long as defending player controls a Forest.) As an additional cost to cast creature spells, yo
Chrome Courier	1	BRC;J21;MH2	Swallow:Condition_If	Condition_If — Flying When this creature enters, reveal the top two cards of your library. Put one of them into your hand and the other into your graveyard
Chrome Replicator	1	M21	Effect:nontoken	nontoken permanents with the same name as one another
Chronomantic Escape	1	FUT	Effect:creatures	Until your next turn, creatures can't attack you. Exile ~ with three time counters on it.
Cinder Strike	1	ECL	Swallow:Condition_If	Condition_If — As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.) Cinder Strike deals 2 d
Circle of Affliction	1	PLC	Trigger:Whenever a source of the chosen color deals damage to you	Whenever a source of the chosen color deals damage to you, you may pay {1}. If you do, target player loses 1 life and you gain 1 life.
Circle of the Moon Druid	1	AFR;HBG	Effect:unknown	Bear Form — During your turn, ~ is a Bear with base power and toughness 4/2.
Clarion Ultimatum	1	ALA	Effect:for	For each of those permanents, you may search your library for a card with the same name as that permanent
Clay Champion	1	BRO;PBRO;PRM	Effect:for	For each {W}{W} spent to cast ~, put a +1/+1 counter on each of them
Clockspinning	1	TSP;WHO	Effect:remove	Remove that counter from that permanent or card or put another of those counters on it
Clockwork Servant	1	ELD	Swallow:Condition_If	Condition_If — Adamant — When this creature enters, if at least three mana of the same color was spent to cast it, draw a card.
Cloister Gargoyle	0	AFR;PLST	NO-GAP-DETAILS	
Close Encounter	1	EOE	Cost:choose a creature you control or a warped creature card you own in exile	choose a creature you control or a warped creature card you own in exile
Cloud, Midgar Mercenary	2	FIN;PFIN;PMEI;PPRO;PSPL	Swallow:Condition_AsLongAs;Swallow:Condition_If	Condition_If — When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle. As long as Cloud is equipped, 
Cloud, Planet's Champion	1	FIN;PMEI	Swallow:Condition_AsLongAs	Condition_AsLongAs — During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular
Coalition Victory	1	INV;PLST;TSB	Swallow:Condition_If	Condition_If — You win the game if you control a land of each basic land type and a creature of each color.
Code of Constraint	1	CLU;PLST;RNA	Swallow:Condition_If	Condition_If — Target creature gets -4/-0 until end of turn. Draw a card. Addendum — If you cast this spell during your main phase, tap that creature and
Codespell Cleric	1	KHM	Swallow:Condition_If	Condition_If — Vigilance When this creature enters, if it was the second spell you cast this turn, put a +1/+1 counter on target creature.
Coiling Rebirth	1	BLB;PBLB	Swallow:Condition_If	Condition_If — Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.) Return target
Combat Celebrant	1	AKH;AKR;BLC;J25;LTC;PAKH	Swallow:Duration_ThisTurn	Duration_ThisTurn — If this creature hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after
Combine Guildmage	2	RNA	Effect:each;Effect:this	{1}{G}, {T}: This turn, each creature you control enters with an additional +1/+1 counter on it.
Combustible Gearhulk	1	C21;DRC;DSC;FIC;KLD;KLR;M3C;MPS;PKLD;PLST;SCD	Effect:deal	deal damage to that player equal to the total mana value of those cards
Combustion Man	1	TLA	Effect:Unsupported unless clause	destroy target permanent unless its controller has ~ deal damage to them equal to his power (unless: its controller has ~ deal damage to them equal to his power
Command the Dreadhorde	1	PWAR;WAR	Effect:deal	deal damage to you equal to the total mana value of those cards
Commence the Endgame	1	DRC;PWAR;WAR	Swallow:DynamicQty	DynamicQty — This spell can't be countered. Draw two cards, then amass Zombies X, where X is the number of cards in your hand. (Put X +1/+1 counters on a
Concussive Bolt	1	MBS	Effect:creatures	Metalcraft — If you control three or more artifacts, creatures controlled by that player or by that planeswalker's controller can't block this turn.
